ID,Название,Ключи,Данные
364,"дух имеет душевную связь с героем, разделяя","r,, I$, @#",3257367597 1486974444 3835528737
365,"полученного ущерба. Если духов несколько, они разделят ущерб коллективно.",Fy`,3855190962 3171507268 4041524704
366,Потеря,"}B{, Ds",1108126836 1981165387 1535025068
367,увеличивает ярость. При достижении,"#m, r[",1948370655 1859229933 2695704458
368,он вызывает,,1935283815 519874352 3185169988
369,"секундное состояние ярости, при котором каждая единица ярости увеличивает урон. Ярость сбрасывается до нуля, когда статус Ярости заканчивается.","Wxj, oc",1130463104 1091272888 1689628586
370,"Снижает эффективность срабатывания эффекта. Если значение эффекта меньше 100, существует определенная вероятность того, что триггер не сработает. Если значение эффекта превышает 100, значение будет уменьшено на определенную пропорцию.","zl, (Y7^",55345357 130470254 3379614128
371,Попытка нанести урон врагам отличается от фактического нанесения урона.,"Fo, Rh1 ",2420226056 2518637383 2682312873
372,Восстанавливает,"""q, *a",3449283609 1652456396 226988315
373,Акт фактического нанесения ущерба.,,1972395709 2898070180 788746553
374,Абсолютное усиление,"5), =_v, E2",2468036430 3175081674 1320638793
375,зеленый текст в навыке можно улучшить.,"9ug}, /on, >eb",17176929 3756620808 3014200585
376,БАЗ.АТК,F>,4169187927 3968200058 2347581173
377,УЛЬТА,"S0P, ny",2995731962 3415599684 3231756198
378,КРИТ,,2916923477 4250071223 2754713932
379,ПОДЕЛИТЬСЯ ДУХОМ,"![YXK, gs, :l.",3011368918 1772618964 1082880606
380,БРОНЗА,"}(, jM",1939391129 593161426 3756037118
381,СЕРЕБРО,TV,2290843768 1251808883 3586729234
382,ЗОЛОТОЙ,"?2, 6Q:",1614010033 406651939 2485059
383,ПЛАТИНА,,918426281 856746954 3141495165
384,АЛМАЗ,"bKm2d, z8",1236659319 345119979 943270093
385,ВЛАДЕЛЕЦ,,1947581736 1939439323 3219832957
386,КОРОЛЬ,c=,547902078 1077601149 1295649436
387,СИЛЬНЕЙШИЙ,6<D,4187956892 687132329 27194224
388,ИНВЕНТАРЬ,"7F, '@, sj",473106461 1562518086 603774686
389,Постоянный,"v~^, 7L",3948411555 3087285244 4094863120
390,Сезон,"Pk, n[",3093980720 3741390931 1600135258
391,Истекший,"#CI[, <I, xv",3878735917 538809946 472889453
392,Очки,"%Z, T<, *X""",351373639 1981072125 1643267590
393,ЗОЛОТО,".S, &8sw, -2",1013993620 3081497000 4010459917
394,Опыт,,2945685149 613650092 3703666578
395,Азия, p,3109031035 3551456416 4117617416
396,Северная Америка,"ez|-C, 'Y, /(",1795130780 623060601 1808991246
397,Европа,"ce7, VG",700003236 2596808749 547229003
398,тех. работы,"M+@.(I, w!+&, gW",1650814117 774917853 4213500731
399,Отличный,"4L, Lp, WS$",2196137856 1738143596 2390316153
400,Средний,"X., nL, c7",313049086 243656838 2688239174
401,Плохой,L+n,4033161751 2806384995 2863708262
402,Статус серверов:,"o6, x#",164788612 586721471 18780087
403,Скорость сети:,":;, B&,, L{",3825375249 2903785665 3508378881
404,Мастер клинка,\F op,1335256951 3571334226 538964937
405,Инстинкт убийцы,uw,2885340793 3745684633 2930857633
406,Каждая битва увеличивает,"?1, y""o",2368552680 363476889 2796457817
407,героя на {0},.%=7bp,482880770 3331464769 1595789107
408,Штрафной удар,"v7, +v",4062605454 83417063 88116744
409,"Метает световой клинок в сторону врага, нанося ему ({0:",,4097226573 4063102620 871922118
410,Физ.урона.,6=,2846206578 246378099 1571374989
411,Скрытый клинок,,3076883022 4038200411 1501930058
412,Прирост уклонения,"l., 02",1291200087 4185632219 2514037318
413,Получайте {0},"bhm, 6o, Iz, MD n",1083461852 3429760079 2426152564
414,уклонения,":CPf, rY",4185779096 679686805 2416583059
415,за каждое повышение уровня героя.,px,702329726 1016891721 1336715506
416,Теневое комбо,Q0,997974922 893653576 2306830587
417,"Бросает 2 дротика, каждый из которых наносит врагу {0:",Er,1068640455 301208885 2452178082
418,"Маг. урона, и увеличивает",Xn,2236930195 44003112 85956285
419,Уклонение,,1445671955 1429519539 2885996644
420,на {1} на {2} с.,,2989982599 2884985810 1711093246
421,Яростный Командир,,3614489761 2032613105 880146016
422,Летальная атака,,3481247526 2490758787 333073134
423,Увеличивает первоначальный множитель,"}7W""Be, PV",2006192411 3381847296 327115466
424,Критического урона,"d9, PVEt, 8;",2252198883 3957867809 1305829024
425,на {0:,5U,760179789 871101836 2488412583
426,Взрыв бомбы,"}L"", { ",2236102855 1251031404 938883189
427,"Бросает бомбу, нанося ({0:",J(,205899426 1023483204 2605603342
428,Святого урона,r/,2527214421 353751365 3412954560
429,врагуи снижет его максимальное здоровье на то же количество.,"O1, ""C, ka",1367264081 876225550 2705195627
430,Король гномов,"T<, >$@g",1731612892 303297280 2701648544
431,Закал,$/,3884702197 1346309215 2789352862
432,нный в боях,6Q,2173222602 1787131979 1404153932
433,В каждом бою,"|J, 4%, >/5",980485847 583782124 3352677771
434,Макс.,,2112481204 3246779992 1236135752
435,героя увеличивается на {0},"""5, l~s*",2004551197 1377547359 2060567188
436,Молот бури,RC,1773358712 3834243197 2041795439
437,"Бросает стальной молот во врага, нанося противнику ({0:","jQ, O;, *W",1432282302 3070077799 3207508476
438,героя. Магический урон.,"C+I, !B, #!, LK",2266890522 1248236180 3011628814
439,Панда воин,"`x, [[",1419456522 182206934 3368664984
440,Пьяный защитник,";S, o7",2179723964 1003258427 2050891696
441,"Каждый раз, когда герой получает урон, есть {0:","h[, rO",2120811126 593314316 3463416602
442,шанс,wQ},2468319731 2091683595 1697269199
443,восстановить,"woJ, 9/l",4240475855 959772139 2845386641
444,уровень героя+{1}),"v2, ucJ",2396146170 3874667482 578307563
445,Тост единения,"w_, l!4",2107326407 4072446548 1158279916
446,Мгновенно,H\4,3523887572 2786532451 4170189715
447,восстанавливает,"|E, 0Z, =U~",919520408 101311592 3876354276
448,"бросает банку с вином, нанося противнику {1:",">`, ,U_",4152272698 3765413270 3741332726
449,Маг. урона.,"oB,, f:S",4213950873 2233996010 2772457848
450,Мистик,,4203769314 3000235541 1754498696
451,Запас энергии,"3lS, H@, d/<",3772003398 439262593 2604097696
452,"После начала боя каждый раз, когда","]JxK, My, AP",1861013893 1296571735 2964910796
453,"используется, урон",'x,1292413180 788048087 1308947773
454,Ульты,,3491578048 1932039098 3667994840
455,увеличивается на {0:,,3403086143 3667247464 3994367583
456,максимальное увеличение - {1:,N^,3830319409 2101481445 3025711518
457,Магическая сфера,"X], ?'",3925097231 2642737106 128441207
458,"Призовите сферу, созданную из энергии, которая летит к врагу. При попадании по врагу наносит ({0:","l,, + , g\",3723083580 2011776638 3878468058
459,Уровень героя,g*e},2037932239 231291057 1605604171
460,ед. магического урона.,,2664782983 1378453595 479194613
461,Ядовитый маг,"bB, ~q#>",200195156 2356557183 783808171
462,Глубокое отравление,"pk, i\",3355698854 2283237783 1066895684
463,Увеличивает весь,"cHV,x=",739779878 2566261285 1325689092
464,Ядовитый,OUX,3332711874 2820483750 612644787
465,"урон, получаемый противником, на (уровень героя","S6~, 9;, -Zx6Q",997845226 2522284063 1189344547
466,Концентрированный яд,AJ,3871298741 1833901920 1276857868
467,"Бросает токсичный шар, который при попадании во врага наносит на него {0:",,349684118 1679834592 827303822
